timestamp,domain,entity_id,entity_type,metric_name,metric_value,unit,scenario,severity_hint,synthetic
2026-01-01T00:00:00Z,ran,syn-cell-01-001-01,cell,prb_utilization_pct,98.498,%,ran_congestion,critical,True
2026-01-01T00:00:00Z,ran,syn-cell-01-001-01,cell,rrc_connected_users,882.0,count,ran_congestion,critical,True
2026-01-01T00:00:00Z,ran,syn-cell-01-001-01,cell,active_users,781.0,count,ran_congestion,critical,True
2026-01-01T00:00:00Z,ran,syn-cell-01-001-01,cell,downlink_throughput_mbps,26.033,Mbps,ran_congestion,normal,True
2026-01-01T00:00:00Z,ran,syn-cell-01-001-01,cell,uplink_throughput_mbps,8.336,Mbps,ran_congestion,normal,True
2026-01-01T00:00:00Z,ran,syn-cell-01-001-01,cell,sinr_db,11.249,dB,ran_congestion,normal,True
2026-01-01T00:00:00Z,ran,syn-cell-01-001-01,cell,rsrp_dbm,-93.209,dBm,ran_congestion,normal,True
2026-01-01T00:00:00Z,ran,syn-cell-01-001-01,cell,handover_success_rate_pct,82.062,%,ran_congestion,warning,True
2026-01-01T00:00:00Z,ran,syn-cell-01-001-01,cell,call_drop_rate_pct,6.52,%,ran_congestion,critical,True
2026-01-01T00:00:00Z,ran,syn-cell-01-001-01,cell,availability_pct,99.817,%,ran_congestion,normal,True
2026-01-01T00:00:00Z,ran,syn-cell-01-001-01,cell,cell_edge_user_pct,34.746,%,ran_congestion,normal,True
2026-01-01T00:00:00Z,ran,syn-cell-01-001-02,cell,prb_utilization_pct,46.458,%,ran_congestion,normal,True
2026-01-01T00:00:00Z,ran,syn-cell-01-001-02,cell,rrc_connected_users,191.0,count,ran_congestion,critical,True
2026-01-01T00:00:00Z,ran,syn-cell-01-001-02,cell,active_users,133.0,count,ran_congestion,critical,True
2026-01-01T00:00:00Z,ran,syn-cell-01-001-02,cell,downlink_throughput_mbps,141.81,Mbps,ran_congestion,critical,True
2026-01-01T00:00:00Z,ran,syn-cell-01-001-02,cell,uplink_throughput_mbps,42.763,Mbps,ran_congestion,normal,True
2026-01-01T00:00:00Z,ran,syn-cell-01-001-02,cell,sinr_db,24.484,dB,ran_congestion,normal,True
2026-01-01T00:00:00Z,ran,syn-cell-01-001-02,cell,rsrp_dbm,-95.925,dBm,ran_congestion,normal,True
2026-01-01T00:00:00Z,ran,syn-cell-01-001-02,cell,handover_success_rate_pct,97.578,%,ran_congestion,normal,True
2026-01-01T00:00:00Z,ran,syn-cell-01-001-02,cell,call_drop_rate_pct,0.566,%,ran_congestion,normal,True
2026-01-01T00:00:00Z,ran,syn-cell-01-001-02,cell,availability_pct,99.91,%,ran_congestion,normal,True
2026-01-01T00:00:00Z,ran,syn-cell-01-001-02,cell,cell_edge_user_pct,12.587,%,ran_congestion,normal,True
2026-01-01T00:00:00Z,ran,syn-cell-01-002-01,cell,prb_utilization_pct,45.275,%,ran_congestion,normal,True
2026-01-01T00:00:00Z,ran,syn-cell-01-002-01,cell,rrc_connected_users,241.0,count,ran_congestion,critical,True
2026-01-01T00:00:00Z,ran,syn-cell-01-002-01,cell,active_users,194.0,count,ran_congestion,critical,True
2026-01-01T00:00:00Z,ran,syn-cell-01-002-01,cell,downlink_throughput_mbps,158.397,Mbps,ran_congestion,critical,True
2026-01-01T00:00:00Z,ran,syn-cell-01-002-01,cell,uplink_throughput_mbps,49.671,Mbps,ran_congestion,normal,True
2026-01-01T00:00:00Z,ran,syn-cell-01-002-01,cell,sinr_db,18.794,dB,ran_congestion,normal,True
2026-01-01T00:00:00Z,ran,syn-cell-01-002-01,cell,rsrp_dbm,-87.071,dBm,ran_congestion,normal,True
2026-01-01T00:00:00Z,ran,syn-cell-01-002-01,cell,handover_success_rate_pct,95.736,%,ran_congestion,normal,True
2026-01-01T00:00:00Z,ran,syn-cell-01-002-01,cell,call_drop_rate_pct,0.0,%,ran_congestion,normal,True
